Date,Temp,Vochtigheid,Remark,
2022/12/18 10:17:45,"21.63℃","44.25%",""
2022/12/18 10:27:45,"21.56℃","44.25%",""
2022/12/18 10:37:45,"21.50℃","44.44%",""
2022/12/18 10:47:45,"21.38℃","44.69%",""
2022/12/18 10:57:45,"21.56℃","45.31%",""
2022/12/18 11:07:45,"21.56℃","45.50%",""
2022/12/18 11:17:45,"21.06℃","44.69%",""
2022/12/18 11:27:45,"20.94℃","46.06%",""
2022/12/18 11:37:45,"20.88℃","46.44%",""
2022/12/18 11:47:45,"20.81℃","46.44%",""
2022/12/18 11:57:45,"20.81℃","46.50%",""
2022/12/18 12:07:45,"20.75℃","46.44%",""
2022/12/18 12:17:45,"20.75℃","46.19%",""
2022/12/18 12:27:45,"20.81℃","46.19%",""
2022/12/18 12:37:45,"20.81℃","46.06%",""
2022/12/18 12:47:45,"20.81℃","46.00%",""
2022/12/18 12:57:45,"20.81℃","46.00%",""
2022/12/18 13:07:45,"20.81℃","45.88%",""
2022/12/18 13:17:45,"20.81℃","45.94%",""
2022/12/18 13:27:45,"20.81℃","45.81%",""
2022/12/18 13:37:45,"20.81℃","46.06%",""
2022/12/18 13:47:45,"20.81℃","45.88%",""
2022/12/18 13:57:45,"20.81℃","45.88%",""
2022/12/18 14:07:45,"20.88℃","45.56%",""
2022/12/18 14:17:45,"21.25℃","45.50%",""
2022/12/18 14:27:45,"21.81℃","45.06%",""
2022/12/18 14:37:45,"22.06℃","44.69%",""
2022/12/18 14:47:45,"21.88℃","44.31%",""
2022/12/18 14:57:45,"21.31℃","44.50%",""
2022/12/18 15:07:45,"21.00℃","45.06%",""
2022/12/18 15:17:45,"21.06℃","44.94%",""
2022/12/18 15:27:45,"21.50℃","44.88%",""
2022/12/18 15:37:45,"21.69℃","45.00%",""
